year,cantons,costs_chf,cost_status_label,canton_code,canton_label,population,population_share_66_plus,premium_mean_monthly,premium_median_monthly,insurer_product_count,cost_per_capita,annual_premium_median,annual_premium_mean,premium_to_cost_ratio,cost_status_group,z_cost_per_capita,z_age_66_share,z_premium_median,belastungsindex,belastungsindex_rank_within_year,premium_cost_gap_z
2011,Aargau,4872582000.0,,AG,Aargau,618298,0.1476731284914394,324.9349206349207,321.0,63,7880.636845016481,3852.0,3899.219047619048,0.4887929840893391,,0.014206610535742238,-0.9082360534471505,-0.2837003220188437,-0.337002921797772,15.0,-0.29790693255458595
2011,Appenzell Innerrhoden,95846000.0,,AI,Appenzell Innerrhoden,15743,0.1603887442037731,263.7284482758621,259.0,58,6088.166169091024,3108.0,3164.741379310345,0.5104985497569018,,-1.7183999095694191,-0.1386375099122399,-1.3851572562538499,-1.161160526343373,25.0,0.33324265331556924
2011,Appenzell Ausserrhoden,392271000.0,,AR,Appenzell Ausserrhoden,53313,0.1678202314632453,283.8318965517241,277.0,58,7357.886444206853,3324.0,3405.9827586206893,0.45176016580374284,,-0.49108519981017673,0.3111450173813892,-1.0653794366372353,-0.3939896938594716,17.0,-0.5742942368270586
2011,Bern,8468264999.999999,,BE,Bern,985000,0.1789532994923857,400.1206989247312,392.55,186,8597.223350253806,4710.6,4801.448387096774,0.5479210912743049,,0.706860871422068,0.9849616169181997,0.9874165109572001,0.8604300049546906,5.0,0.2805556395351321
2011,Basel-Landschaft,2386084000.0,,BL,Basel-Landschaft,275360,0.1869262056943637,368.860593220339,371.5,118,8665.325392213828,4458.0,4426.327118644068,0.5144642351233235,,0.7726884710124993,1.467512925450674,0.613454116349992,0.9413272186783248,3.0,-0.15923435466250724
2011,Basel-Stadt,2068780000.0,,BS,Basel-Stadt,186255,0.1966604923357762,467.3364406779661,460.0,59,11107.245443075353,5520.0,5608.037288135593,0.4969729019035374,,3.1330543383725264,2.0566698322857806,2.185695062798348,2.5732991676529577,1.0,-0.9473592755741786
2011,Fribourg,2122161000.0,,FR,Fribourg,284714,0.1315144320265248,346.96535087719303,342.0,114,7453.658759316367,4104.0,4163.584210526316,0.550602077787689,,-0.3985114468149508,-1.886223242282905,0.08937380086720682,-0.7228536735347977,21.0,0.48788524768215763
2011,Genève,4135744000.0,,GE,Genève,460534,0.1507185137253709,467.13425925925924,460.0,54,8980.32284261314,5520.0,5605.611111111111,0.6146772334070967,,1.077165773602998,-0.7239174884984574,2.185695062798348,0.8139731172713989,6.0,1.1085292891953498
2011,Glarus,332088000.0,,GL,Glarus,39217,0.1680393706810821,302.18606557377046,295.0,61,8467.96032332917,3540.0,3626.2327868852453,0.41804636120546357,,0.5819149148347882,0.324408175587327,-0.7456016170206206,0.17278376009669766,10.0,-1.3275165318554087
2011,Graubünden,1512833000.0,,GR,Graubünden,193388,0.1716704242248743,302.9653439153439,299.0,189,7822.786315593522,3588.0,3635.5841269841267,0.4586601059072614,,-0.041711852073418196,0.5441736656759611,-0.6745398793280395,-0.024153203562259723,12.0,-0.6328280272546213
2011,Jura,614282000.0,,JU,Jura,70542,0.1733435400187122,386.9787037037037,386.5,54,8708.032094355136,4638.0,4643.7444444444445,0.5326117255592708,,0.8139688732952398,0.645437144160447,0.879935632697171,0.7799010444052847,7.0,0.0659667594019312
2011,Luzern,2692657000.0,,LU,Luzern,381966,0.1520423283747768,312.0554644808743,304.7,183,7049.467753674411,3656.3999999999996,3744.665573770492,0.5186774559106487,,-0.7892034570937497,-0.6437950745201275,-0.5732769031161117,-0.6915993038272535,20.0,0.21592655397763805
2011,Neuchâtel,1460755000.0,,NE,Neuchâtel,173183,0.1687001611012628,405.4009433962264,409.0,53,8434.748214316647,4908.0,4864.811320754717,0.5818786613771646,,0.5498120093901403,0.3644017831685636,1.2796579072179395,0.676650415980617,8.0,0.7298458978277992
2011,Nidwalden,264939000.00000003,,NW,Nidwalden,41311,0.1555275834523492,266.04249999999996,259.5,60,6413.279755997193,3114.0,3192.5099999999993,0.48555499190379664,,-1.4041443247980951,-0.4328538749566888,-1.3762745390422773,-1.1057897434067188,24.0,0.02786978575581789
2011,Obwalden,250177000.0,,OW,Obwalden,35885,0.1478054897589522,290.2313559322034,286.0,59,6971.631600947471,3432.0,3482.776271186441,0.49228074523237547,,-0.864440071854529,-0.9002250344762429,-0.9054905268289278,-0.8854381743846429,23.0,-0.04105045497439885
2011,St. Gallen,3522854000.0,,SG,St. Gallen,483156,0.153275546614344,312.8693548387097,307.0,186,7291.338615271258,3684.0,3754.432258064516,0.5052570171798206,,-0.55541049330661,-0.5691559078055317,-0.5324164039428774,-0.5537855953153533,18.0,0.022994089363732595
2011,Schaffhausen,698151000.0,,SH,Schaffhausen,77139,0.1841999507382776,340.89736842105265,340.3,114,9050.558083459728,4083.6000000000004,4090.7684210526318,0.4511986954111647,,1.1450553284316278,1.3025093667575958,0.05917256234786007,0.9208208484084763,4.0,-1.0858827660837678
2011,Solothurn,2045152000.0,,SO,Solothurn,256990,0.1687264095879217,334.3655737704918,330.0,61,7958.099536946963,3960.0,4012.3868852459013,0.49760624149207494,,0.08908223718126952,0.36599044372261774,-0.12381141221053633,0.11893128679572253,11.0,-0.21289364939180586
2011,Schwyz,1054055000.0,,SZ,Schwyz,147904,0.1430725335352661,308.49921875,301.0,64,7126.615913024664,3612.0,3701.9906250000004,0.5068324214580834,,-0.7146318584061743,-1.1866819626162008,-0.639009010481749,-0.8373411776880759,22.0,0.07562284792442531
2011,Thurgau,1836838000.0,,TG,Thurgau,251973,0.1460989867962043,328.48362068965514,325.5,58,7289.820734761264,3906.0,3941.8034482758617,0.5358156451467141,,-0.556877680303685,-1.0035092343435683,-0.20375586711469001,-0.6025866932184013,19.0,0.353121813188995
2011,Ticino,2865505000.0,,TI,Ticino,336943,0.1951071843012022,395.85648148148147,389.65,108,8504.420629008468,4675.799999999999,4750.277777777777,0.5498081767088173,,0.6171575350870633,1.962657585603167,0.9358967511300782,1.1004923542526481,2.0,0.3187392160430149
2011,Uri,251123000.0,,UR,Uri,35382,0.1735628285568933,293.23790322580646,286.0,62,7097.4789440958675,3432.0,3518.8548387096776,0.48355198050357795,,-0.7427957235227236,0.6587093398146767,-0.9054905268289278,-0.36301790534805456,16.0,-0.16269480330620423
2011,Vaud,6055364000.0,,VD,Vaud,725944,0.147708363179529,420.0777777777778,416.0,108,8341.365174173214,4992.0,5040.933333333333,0.5984631886704086,,0.45954773539513116,-0.9061035130142584,1.4040159481799563,0.2859694140685206,9.0,0.9444682127848252
2011,Valais,2394794000.0,,VS,Valais,317022,0.1622505693611169,310.0058333333333,306.0,120,7554.030950533402,3672.0,3720.0699999999997,0.4860980877687183,,-0.30149144237326647,-0.025952606418450524,-0.5501818383660226,-0.28100239058501075,14.0,-0.24869039599275616
2011,Zug,727521000.0,,ZG,Zug,115104,0.1437135112593828,300.0491935483871,289.0,62,6320.553586321935,3468.0,3600.590322580645,0.548686116277056,,-1.4937736661990542,-1.1478874964984451,-0.852194223559492,-1.229612954628981,26.0,0.6415794426395621
2011,Zürich,11113785000.0,,ZH,Zürich,1392396,0.1541637580113703,356.1924870466321,348.0,193,7981.770272250135,4176.0,4274.309844559585,0.5231922064355213,,0.11196242756473866,-0.5153978977361087,0.1959664074060784,-0.05524467506518059,13.0,0.08400397984133974
2012,Aargau,5061605000.0,,AG,Aargau,627340,0.150573851499984,347.602,342.75,50,8068.360059935601,4113.0,4171.224,0.5097690199057413,,-0.026007444467715076,-0.9080557912955822,-0.2830220659968148,-0.35487560389835016,16.0,-0.2570146215290997
2012,Appenzell Innerrhoden,103355000.0,,AI,Appenzell Innerrhoden,15717,0.1642807151492015,284.73333333333335,279.0,45,6576.000509002991,3348.0,3416.8,0.5091240481834454,,-1.5021647318335465,-0.06947732144676512,-1.4117734480702524,-1.0497606877766885,25.0,0.09039128376329408
2012,Appenzell Ausserrhoden,431081000.0,,AR,Appenzell Ausserrhoden,53438,0.169897825517422,302.53555555555556,299.0,45,8066.937385381189,3588.0,3630.4266666666667,0.4447784615884254,,-0.027414673315302625,0.27417443858392376,-1.0576553674197622,-0.19449811327164962,14.0,-1.0302406941044595
2012,Bern,8760738000.0,,BE,Bern,992567,0.1820310366957595,419.0969387755102,414.5,147,8826.344216561703,4974.0,5029.163265306122,0.5635402243509622,,0.7237474224557653,1.0164777053756446,0.9873765483368188,0.8774737888019926,4.0,0.26362912588105347
2012,Basel-Landschaft,2481314000.0,,BL,Basel-Landschaft,276537,0.1911932218835092,391.30326086956524,390.0,92,8972.810148370743,4680.0,4695.639130434783,0.5215757296335731,,0.8686232015236369,1.577015216497181,0.5535818995399683,1.002380480519783,3.0,-0.31504130198366864
2012,Basel-Stadt,2114846000.0,,BS,Basel-Stadt,187425,0.1955875683606776,502.66956521739127,494.5,46,11283.692143524077,5934.0,6032.034782608695,0.5258916961329572,,3.1544163907429037,1.845858946114333,2.4038488709387797,2.5742072774033016,1.0,-0.750567519804124
