year,canton,is_66_plus,population,total_population,population_share_66_plus
2014,Thurgau,True,40449,263733,0.1533710229664092
2014,Ticino,True,71380,350363,0.20373155841227528
2014,Uri,True,6499,36008,0.1804876694067985
2014,Valais,True,57341,331763,0.17283723621983163
2014,Vaud,True,116224,761446,0.15263590589483692
2014,Zug,True,18202,120089,0.1515709182356419
2014,Zürich,True,229196,1446354,0.1584646635609263
2015,Aargau,True,103228,653675,0.15791945538685126
2015,Appenzell Ausserrhoden,True,9602,54543,0.17604458867315695
2015,Appenzell Innerrhoden,True,2745,15974,0.17184174283210216
2015,Basel-Landschaft,True,56698,283231,0.20018288958482652
2015,Basel-Stadt,True,36818,191817,0.19194336268422507
2015,Bern,True,192830,1017434,0.18952580707937813
2015,Fribourg,True,43111,307510,0.14019381483528992
2015,Genève,True,75506,484736,0.15576726300501717
2015,Glarus,True,7171,40028,0.17914959528330168
2015,Graubünden,True,36998,196610,0.18817964498245257
2015,Jura,True,13661,72782,0.1876975076255118
2015,Luzern,True,63577,398762,0.15943595427849194
2015,Neuchâtel,True,31148,178107,0.17488363736405643
2015,Nidwalden,True,7513,42420,0.17710985384252712
2015,Obwalden,True,6052,37076,0.1632322796418168
2015,Ohne Angabe,True,0,0,
2015,Schaffhausen,True,15424,79836,0.19319605190640815
2015,Schweiz,True,1405971,8327126,0.1688422872429215
2015,Schwyz,True,24180,154093,0.1569182247084553
2015,Solothurn,True,47354,266418,0.1777432455765001
2015,St. Gallen,True,81825,499065,0.1639565988398305
2015,Thurgau,True,41779,267429,0.15622464280238868
2015,Ticino,True,72624,351946,0.20634983775920168
2015,Uri,True,6582,35973,0.18297056125427405
2015,Valais,True,59011,335696,0.17578702159096327
2015,Vaud,True,118622,773407,0.15337590686404443
2015,Zug,True,18740,122134,0.153438027085005
2015,Zürich,True,233172,1466424,0.1590072175578141
2016,Aargau,True,106238,663462,0.1601267291872029
2016,Appenzell Ausserrhoden,True,9779,54954,0.17794882993048733
2016,Appenzell Innerrhoden,True,2790,16003,0.17434231081672186
2016,Basel-Landschaft,True,57927,285624,0.20280858751365433
2016,Basel-Stadt,True,36904,193070,0.19114310871704562
2016,Bern,True,196764,1026464,0.19169108707173363
2016,Fribourg,True,44497,311963,0.1426355048515369
2016,Genève,True,76566,489524,0.15640908310930618
2016,Glarus,True,7307,40147,0.18200612748150546
2016,Graubünden,True,38098,197550,0.19285244241964059
2016,Jura,True,13911,73122,0.19024370230573562
2016,Luzern,True,65211,403397,0.16165464790268644
2016,Neuchâtel,True,31511,178567,0.17646597635621364
2016,Nidwalden,True,7793,42556,0.18312341385468558
2016,Obwalden,True,6263,37378,0.1675584568462732
2016,Ohne Angabe,True,0,0,
2016,Schaffhausen,True,15771,80769,0.19526055788730826
2016,Schweiz,True,1436914,8419550,0.17066399035577912
2016,Schwyz,True,25004,155863,0.16042293552671255
2016,Solothurn,True,48467,269441,0.17987982526786941
2016,St. Gallen,True,83735,502552,0.16661957369585634
2016,Thurgau,True,43094,270709,0.15918938786667602
2016,Ticino,True,73967,354375,0.2087252204585538
2016,Uri,True,6693,36145,0.18517083967353715
2016,Valais,True,60754,339176,0.17912234356204448
2016,Vaud,True,121030,784822,0.1542133120631175
2016,Zug,True,19279,123948,0.1555410333365605
2016,Zürich,True,237561,1487969,0.15965453581358213
2017,Aargau,True,109051,670988,0.16252302574710725
2017,Appenzell Ausserrhoden,True,9912,55178,0.179636811772808
2017,Appenzell Innerrhoden,True,2868,16105,0.1780813411983856
2017,Basel-Landschaft,True,58843,287023,0.20501144507583016
2017,Basel-Stadt,True,36729,193908,0.1894145677331518
2017,Bern,True,200152,1031080,0.19411878806688132
2017,Fribourg,True,45788,315120,0.1453033764914953
2017,Genève,True,77024,495249,0.15552580621061324
2017,Glarus,True,7464,40349,0.18498599717465117
2017,Graubünden,True,38885,197888,0.19650004042690816
2017,Jura,True,14180,73290,0.1934779642516032
2017,Luzern,True,66522,406506,0.16364334105769657
2017,Neuchâtel,True,31695,177964,0.1780978175361309
2017,Nidwalden,True,7980,42969,0.18571528311108007
2017,Obwalden,True,6466,37575,0.17208250166334
2017,Ohne Angabe,True,0,0,
2017,Schaffhausen,True,16111,81351,0.19804304802645328
2017,Schweiz,True,1461586,8484130,0.17227293782627093
2017,Schwyz,True,25759,157301,0.16375611089567135
2017,Solothurn,True,49374,271432,0.18190191281794335
2017,St. Gallen,True,85382,504686,0.1691784594777743
2017,Thurgau,True,44270,273801,0.1616867725099616
2017,Ticino,True,74941,353709,0.21187190600182637
2017,Uri,True,6809,36299,0.18758092509435523
2017,Valais,True,62182,341463,0.1821046496985032
2017,Vaud,True,122631,793129,0.15461671430498697
2017,Zug,True,19691,125421,0.15699922660479504
2017,Zürich,True,240877,1504346,0.1601207434991684
2018,Aargau,True,112311,678207,0.16559988322149433
2018,Appenzell Ausserrhoden,True,10165,55234,0.1840351957127856
2018,Appenzell Innerrhoden,True,2896,16145,0.1793744193248684
2018,Basel-Landschaft,True,59929,288132,0.20799147612899643
2018,Basel-Stadt,True,36752,194766,0.18869823275109618
2018,Bern,True,203466,1034931,0.1965986138206315
2018,Fribourg,True,47189,318760,0.1480392771991467
2018,Genève,True,77638,499480,0.15543765516136782
2018,Glarus,True,7644,40403,0.18919387174219737
2018,Graubünden,True,39839,198379,0.2008226677218859
2018,Jura,True,14522,73419,0.19779621079012244
2018,Luzern,True,67956,409557,0.16592562207458303
2018,Neuchâtel,True,31894,176850,0.18034492507774952
2018,Nidwalden,True,8223,43223,0.19024593387779654
2018,Obwalden,True,6663,37841,0.17607885626701197
2018,Ohne Angabe,True,0,0,
2018,Schaffhausen,True,16425,81991,0.2003268651437353
2018,Schweiz,True,1488757,8544527,0.1742351566096052
2018,Schwyz,True,26453,159165,0.16619859893820876
2018,Solothurn,True,50219,273194,0.1838217530399643
2018,St. Gallen,True,87313,507697,0.17197856201632075
2018,Thurgau,True,45536,276472,0.1647038398101797
2018,Ticino,True,75866,353343,0.21470922021944683
2018,Uri,True,6993,36433,0.19194137183322812
2018,Valais,True,63696,343955,0.1851870157433385
2018,Vaud,True,124243,799145,0.15546990846467162
2018,Zug,True,20221,126837,0.15942508889361937
2018,Zürich,True,244705,1520968,0.16088767153549582
2019,Aargau,True,115324,685845,0.16814877997215114
2019,Appenzell Ausserrhoden,True,10398,55445,0.18753719902606186
2019,Appenzell Innerrhoden,True,2977,16128,0.1845858134920635
2019,Basel-Landschaft,True,60932,289468,0.21049649702212334
2019,Basel-Stadt,True,36784,195844,0.18782296113232982
2019,Bern,True,206864,1039426,0.19901753467779332
2019,Fribourg,True,48361,321831,0.15026830852217468
