year,canton_label,cantons,age_label,age,cost_raw,mult,cost_status_label,cost_status,costs_chf
2011,_T,Total,_T,Total,64234.605,6,,,64234605000.0
2012,_T,Total,_T,Total,66521.484,6,,,66521484000.0
2013,_T,Total,_T,Total,69352.48,6,,,69352480000.0
2014,_T,Total,_T,Total,71055.555,6,,,71055555000.0
2015,_T,Total,_T,Total,73345.97,6,,,73345970000.0
2016,_T,Total,_T,Total,75935.875,6,,,75935875000.0
2017,_T,Total,_T,Total,77866.586,6,,,77866586000.0
2018,_T,Total,_T,Total,79171.64,6,,,79171640000.0
2019,_T,Total,_T,Total,81686.11,6,,,81686110000.0
2020,_T,Total,_T,Total,83522.01,6,,,83522010000.0
2021,_T,Total,_T,Total,89099.26,6,,,89099260000.0
2022,_T,Total,_T,Total,91759.15,6,,,91759150000.0
2023,_T,Total,_T,Total,93393.62,6,,,93393620000.0
2024,_T,Total,_T,Total,97201.37,6,,,97201370000.0
2025,_T,Total,_T,Total,100728.18,6,,,100728180000.0
2011,1,Zürich,_T,Total,11113.785,6,,,11113785000.0
2012,1,Zürich,_T,Total,11531.068,6,,,11531068000.0
2013,1,Zürich,_T,Total,12014.126,6,,,12014126000.0
2014,1,Zürich,_T,Total,12288.367,6,,,12288367000.0
2015,1,Zürich,_T,Total,12646.938,6,,,12646938000.0
2016,1,Zürich,_T,Total,13133.581,6,,,13133581000.0
2017,1,Zürich,_T,Total,13441.639,6,,,13441639000.0
2018,1,Zürich,_T,Total,13675.794,6,,,13675794000.0
2019,1,Zürich,_T,Total,14051.196,6,,,14051196000.0
2020,1,Zürich,_T,Total,14197.38,6,,,14197380000.0
2021,1,Zürich,_T,Total,15231.132,6,,,15231132000.0
2022,1,Zürich,_T,Total,15679.2,6,,,15679200000.0
2023,1,Zürich,_T,Total,15884.144,6,,,15884144000.0
2024,1,Zürich,_T,Total,16631.36,6,,,16631360000.0
2011,2,Bern,_T,Total,8468.265,6,,,8468264999.999999
2012,2,Bern,_T,Total,8760.738,6,,,8760738000.0
2013,2,Bern,_T,Total,9081.76,6,,,9081760000.0
2014,2,Bern,_T,Total,9277.219,6,,,9277219000.0
2015,2,Bern,_T,Total,9753.575,6,,,9753575000.0
2016,2,Bern,_T,Total,10089.827,6,,,10089827000.0
2017,2,Bern,_T,Total,10241.3,6,,,10241300000.0
2018,2,Bern,_T,Total,10360.96,6,,,10360960000.0
2019,2,Bern,_T,Total,10494.066,6,,,10494066000.0
2020,2,Bern,_T,Total,10755.863,6,,,10755863000.0
2021,2,Bern,_T,Total,11436.382,6,,,11436382000.0
2022,2,Bern,_T,Total,11566.182,6,,,11566182000.0
2023,2,Bern,_T,Total,12030.14,6,,,12030140000.0
2024,2,Bern,_T,Total,12427.433,6,,,12427433000.0
2011,3,Luzern,_T,Total,2692.657,6,,,2692657000.0
2012,3,Luzern,_T,Total,2794.85,6,,,2794850000.0
2013,3,Luzern,_T,Total,2927.461,6,,,2927461000.0
2014,3,Luzern,_T,Total,2986.895,6,,,2986895000.0
2015,3,Luzern,_T,Total,3077.452,6,,,3077452000.0
2016,3,Luzern,_T,Total,3241.601,6,,,3241601000.0
2017,3,Luzern,_T,Total,3323.311,6,,,3323311000.0
2018,3,Luzern,_T,Total,3247.626,6,,,3247626000.0
2019,3,Luzern,_T,Total,3462.021,6,,,3462021000.0
2020,3,Luzern,_T,Total,3519.834,6,,,3519834000.0
2021,3,Luzern,_T,Total,3977.111,6,,,3977111000.0
2022,3,Luzern,_T,Total,3999.45,6,,,3999450000.0
2023,3,Luzern,_T,Total,3909.933,6,,,3909933000.0
2024,3,Luzern,_T,Total,4040.832,6,,,4040832000.0
2011,4,Uri,_T,Total,251.123,6,,,251123000.0
2012,4,Uri,_T,Total,258.316,6,,,258315999.99999997
2013,4,Uri,_T,Total,268.677,6,,,268677000.0
2014,4,Uri,_T,Total,275.071,6,,,275071000.0
2015,4,Uri,_T,Total,273.449,6,,,273449000.0
2016,4,Uri,_T,Total,277.411,6,,,277411000.0
2017,4,Uri,_T,Total,279.249,6,,,279249000.0
2018,4,Uri,_T,Total,307.298,6,,,307298000.0
2019,4,Uri,_T,Total,299.439,6,,,299439000.0
2020,4,Uri,_T,Total,305.914,6,,,305914000.0
2021,4,Uri,_T,Total,321.518,6,,,321518000.0
2022,4,Uri,_T,Total,315.656,6,,,315656000.0
2023,4,Uri,_T,Total,329.806,6,,,329806000.0
2024,4,Uri,_T,Total,330.398,6,,,330398000.0
2011,5,Schwyz,_T,Total,1054.055,6,,,1054055000.0000001
2012,5,Schwyz,_T,Total,1127.889,6,,,1127889000.0
2013,5,Schwyz,_T,Total,1166.222,6,,,1166222000.0
2014,5,Schwyz,_T,Total,1185.912,6,,,1185912000.0
2015,5,Schwyz,_T,Total,1217.794,6,,,1217794000.0
2016,5,Schwyz,_T,Total,1249.592,6,,,1249592000.0
2017,5,Schwyz,_T,Total,1290.183,6,,,1290183000.0
2018,5,Schwyz,_T,Total,1316.193,6,,,1316193000.0
2019,5,Schwyz,_T,Total,1382.888,6,,,1382888000.0
2020,5,Schwyz,_T,Total,1398.925,6,,,1398925000.0
2021,5,Schwyz,_T,Total,1507.653,6,,,1507653000.0
2022,5,Schwyz,_T,Total,1575.024,6,,,1575024000.0
2023,5,Schwyz,_T,Total,1560.048,6,,,1560048000.0
2024,5,Schwyz,_T,Total,1573.573,6,,,1573573000.0
2011,6,Obwalden,_T,Total,250.177,6,,,250177000.0
2012,6,Obwalden,_T,Total,256.228,6,,,256228000.0
2013,6,Obwalden,_T,Total,270.08,6,,,270080000.0
2014,6,Obwalden,_T,Total,274.925,6,,,274925000.0
2015,6,Obwalden,_T,Total,281.749,6,,,281749000.0
2016,6,Obwalden,_T,Total,295.414,6,,,295414000.0
2017,6,Obwalden,_T,Total,306.093,6,,,306093000.0
2018,6,Obwalden,_T,Total,308.048,6,,,308048000.0
2019,6,Obwalden,_T,Total,313.977,6,,,313977000.0
2020,6,Obwalden,_T,Total,327.298,6,,,327298000.0
2021,6,Obwalden,_T,Total,350.569,6,,,350569000.0
2022,6,Obwalden,_T,Total,351.811,6,,,351811000.0
2023,6,Obwalden,_T,Total,351.569,6,,,351569000.0
2024,6,Obwalden,_T,Total,361.367,6,,,361367000.0
2011,7,Nidwalden,_T,Total,264.939,6,,,264939000.00000003
2012,7,Nidwalden,_T,Total,280.843,6,,,280843000.0
2013,7,Nidwalden,_T,Total,292.261,6,,,292261000.0
2014,7,Nidwalden,_T,Total,297.857,6,,,297857000.0
2015,7,Nidwalden,_T,Total,308.102,6,,,308102000.0
2016,7,Nidwalden,_T,Total,318.274,6,,,318274000.0
2017,7,Nidwalden,_T,Total,327.803,6,,,327803000.0
2018,7,Nidwalden,_T,Total,333.465,6,,,333465000.0
2019,7,Nidwalden,_T,Total,359.416,6,,,359416000.0
2020,7,Nidwalden,_T,Total,379.587,6,,,379587000.0
2021,7,Nidwalden,_T,Total,383.046,6,,,383046000.0
2022,7,Nidwalden,_T,Total,392.314,6,,,392314000.0
2023,7,Nidwalden,_T,Total,396.338,6,,,396338000.0
2024,7,Nidwalden,_T,Total,407.974,6,,,407974000.0
2011,8,Glarus,_T,Total,332.088,6,,,332088000.0
2012,8,Glarus,_T,Total,346.738,6,,,346738000.0
2013,8,Glarus,_T,Total,358.488,6,,,358488000.0
2014,8,Glarus,_T,Total,370.86,6,,,370860000.0
2015,8,Glarus,_T,Total,371.238,6,,,371238000.0
2016,8,Glarus,_T,Total,379.121,6,,,379121000.0
2017,8,Glarus,_T,Total,423.99,6,,,423990000.0
2018,8,Glarus,_T,Total,407.421,6,,,407421000.0
2019,8,Glarus,_T,Total,452.287,6,,,452287000.0
2020,8,Glarus,_T,Total,470.635,6,,,470635000.0
2021,8,Glarus,_T,Total,420.482,6,,,420482000.0
2022,8,Glarus,_T,Total,442.118,6,,,442118000.0
2023,8,Glarus,_T,Total,463.284,6,,,463284000.0
2024,8,Glarus,_T,Total,502.677,6,,,502677000.0
2011,9,Zug,_T,Total,727.521,6,,,727521000.0
2012,9,Zug,_T,Total,753.736,6,,,753736000.0
2013,9,Zug,_T,Total,800.509,6,,,800509000.0
2014,9,Zug,_T,Total,821.639,6,,,821639000.0
2015,9,Zug,_T,Total,858.042,6,,,858042000.0
2016,9,Zug,_T,Total,887.204,6,,,887204000.0
2017,9,Zug,_T,Total,907.524,6,,,907524000.0
2018,9,Zug,_T,Total,907.864,6,,,907864000.0
2019,9,Zug,_T,Total,957.139,6,,,957139000.0
2020,9,Zug,_T,Total,991.491,6,,,991491000.0
2021,9,Zug,_T,Total,1065.254,6,,,1065253999.9999999
2022,9,Zug,_T,Total,1127.334,6,,,1127334000.0
2023,9,Zug,_T,Total,1133.793,6,,,1133793000.0
2024,9,Zug,_T,Total,1203.002,6,,,1203002000.0
2011,10,Fribourg,_T,Total,2122.161,6,,,2122161000.0
2012,10,Fribourg,_T,Total,2203.076,6,,,2203076000.0
2013,10,Fribourg,_T,Total,2326.436,6,,,2326436000.0
2014,10,Fribourg,_T,Total,2373.525,6,,,2373525000.0
2015,10,Fribourg,_T,Total,2457.316,6,,,2457316000.0
2016,10,Fribourg,_T,Total,2524.787,6,,,2524787000.0
2017,10,Fribourg,_T,Total,2602.363,6,,,2602363000.0
2018,10,Fribourg,_T,Total,2703.336,6,,,2703336000.0
2019,10,Fribourg,_T,Total,2762.64,6,,,2762640000.0
2020,10,Fribourg,_T,Total,2859.892,6,,,2859892000.0
2021,10,Fribourg,_T,Total,3050.791,6,,,3050791000.0
2022,10,Fribourg,_T,Total,3207.661,6,,,3207661000.0
2023,10,Fribourg,_T,Total,3259.7,6,,,3259700000.0
2024,10,Fribourg,_T,Total,3480.73,6,,,3480730000.0
2011,11,Solothurn,_T,Total,2045.152,6,,,2045152000.0
2012,11,Solothurn,_T,Total,2132.75,6,,,2132750000.0
2013,11,Solothurn,_T,Total,2267.861,6,,,2267861000.0
2014,11,Solothurn,_T,Total,2313.054,6,,,2313054000.0
2015,11,Solothurn,_T,Total,2366.691,6,,,2366691000.0
2016,11,Solothurn,_T,Total,2450.369,6,,,2450369000.0
2017,11,Solothurn,_T,Total,2496.548,6,,,2496548000.0
2018,11,Solothurn,_T,Total,2498.503,6,,,2498503000.0
2019,11,Solothurn,_T,Total,2647.783,6,,,2647783000.0
2020,11,Solothurn,_T,Total,2704.267,6,,,2704267000.0
2021,11,Solothurn,_T,Total,2865.138,6,,,2865138000.0
2022,11,Solothurn,_T,Total,2914.221,6,,,2914221000.0
2023,11,Solothurn,_T,Total,2983.676,6,,,2983676000.0
2024,11,Solothurn,_T,Total,3138.633,6,,,3138633000.0
2011,12,Basel-Stadt,_T,Total,2068.78,6,,,2068780000.0000002
2012,12,Basel-Stadt,_T,Total,2114.846,6,,,2114846000.0
2013,12,Basel-Stadt,_T,Total,2139.224,6,,,2139224000.0000002
2014,12,Basel-Stadt,_T,Total,2179.299,6,,,2179299000.0
2015,12,Basel-Stadt,_T,Total,2249.92,6,,,2249920000.0
2016,12,Basel-Stadt,_T,Total,2341.791,6,,,2341791000.0
2017,12,Basel-Stadt,_T,Total,2394.818,6,,,2394818000.0
2018,12,Basel-Stadt,_T,Total,2417.006,6,,,2417006000.0
2019,12,Basel-Stadt,_T,Total,2473.319,6,,,2473319000.0
2020,12,Basel-Stadt,_T,Total,2471.597,6,,,2471597000.0
2021,12,Basel-Stadt,_T,Total,2616.604,6,,,2616604000.0
2022,12,Basel-Stadt,_T,Total,2731.312,6,,,2731312000.0
2023,12,Basel-Stadt,_T,Total,2667.148,6,,,2667148000.0
2024,12,Basel-Stadt,_T,Total,2751.648,6,,,2751648000.0
2011,13,Basel-Landschaft,_T,Total,2386.084,6,,,2386084000.0
2012,13,Basel-Landschaft,_T,Total,2481.314,6,,,2481314000.0
2013,13,Basel-Landschaft,_T,Total,2583.332,6,,,2583332000.0
2014,13,Basel-Landschaft,_T,Total,2635.729,6,,,2635729000.0
2015,13,Basel-Landschaft,_T,Total,2761.939,6,,,2761939000.0
2016,13,Basel-Landschaft,_T,Total,2848.719,6,,,2848719000.0
2017,13,Basel-Landschaft,_T,Total,2939.104,6,,,2939104000.0
2018,13,Basel-Landschaft,_T,Total,3030.328,6,,,3030328000.0
2019,13,Basel-Landschaft,_T,Total,3124.653,6,,,3124653000.0
2020,13,Basel-Landschaft,_T,Total,3107.725,6,,,3107725000.0
2021,13,Basel-Landschaft,_T,Total,3336.706,6,,,3336706000.0
2022,13,Basel-Landschaft,_T,Total,3504.388,6,,,3504388000.0
2023,13,Basel-Landschaft,_T,Total,3547.929,6,,,3547929000.0
2024,13,Basel-Landschaft,_T,Total,3682.671,6,,,3682671000.0
2011,14,Schaffhausen,_T,Total,698.151,6,,,698151000.0
2012,14,Schaffhausen,_T,Total,700.86,6,,,700860000.0
2013,14,Schaffhausen,_T,Total,718.358,6,,,718358000.0
2014,14,Schaffhausen,_T,Total,725.168,6,,,725168000.0
2015,14,Schaffhausen,_T,Total,747.845,6,,,747845000.0
2016,14,Schaffhausen,_T,Total,774.793,6,,,774793000.0
2017,14,Schaffhausen,_T,Total,795.781,6,,,795781000.0
2018,14,Schaffhausen,_T,Total,788.404,6,,,788404000.0
2019,14,Schaffhausen,_T,Total,814.57,6,,,814570000.0
2020,14,Schaffhausen,_T,Total,844.898,6,,,844898000.0
2021,14,Schaffhausen,_T,Total,904.28,6,,,904280000.0
2022,14,Schaffhausen,_T,Total,913.476,6,,,913476000.0
2023,14,Schaffhausen,_T,Total,931.874,6,,,931874000.0
2024,14,Schaffhausen,_T,Total,924.962,6,,,924962000.0
2011,15,Appenzell Ausserrhoden,_T,Total,392.271,6,,,392271000.0
2012,15,Appenzell Ausserrhoden,_T,Total,431.081,6,,,431081000.0
2013,15,Appenzell Ausserrhoden,_T,Total,446.266,6,,,446266000.0
2014,15,Appenzell Ausserrhoden,_T,Total,458.979,6,,,458979000.0
2015,15,Appenzell Ausserrhoden,_T,Total,470.579,6,,,470579000.0
2016,15,Appenzell Ausserrhoden,_T,Total,486.617,6,,,486617000.0
2017,15,Appenzell Ausserrhoden,_T,Total,480.551,6,,,480551000.0
2018,15,Appenzell Ausserrhoden,_T,Total,495.869,6,,,495869000.0
2019,15,Appenzell Ausserrhoden,_T,Total,503.292,6,,,503292000.0
2020,15,Appenzell Ausserrhoden,_T,Total,500.051,6,,,500051000.0
2021,15,Appenzell Ausserrhoden,_T,Total,528.839,6,,,528839000.00000006
2022,15,Appenzell Ausserrhoden,_T,Total,608.919,6,,,608919000.0
2023,15,Appenzell Ausserrhoden,_T,Total,562.156,6,,,562156000.0
2024,15,Appenzell Ausserrhoden,_T,Total,572.249,6,,,572249000.0
2011,16,Appenzell Innerrhoden,_T,Total,95.846,6,,,95846000.0
2012,16,Appenzell Innerrhoden,_T,Total,103.355,6,,,103355000.0
2013,16,Appenzell Innerrhoden,_T,Total,106.9,6,,,106900000.0
2014,16,Appenzell Innerrhoden,_T,Total,110.661,6,,,110661000.0
2015,16,Appenzell Innerrhoden,_T,Total,113.584,6,,,113584000.0
2016,16,Appenzell Innerrhoden,_T,Total,118.807,6,,,118807000.0
2017,16,Appenzell Innerrhoden,_T,Total,118.914,6,,,118914000.0
2018,16,Appenzell Innerrhoden,_T,Total,124.633,6,,,124633000.0
2019,16,Appenzell Innerrhoden,_T,Total,123.81,6,,,123810000.0
2020,16,Appenzell Innerrhoden,_T,Total,125.325,6,,,125325000.0
2021,16,Appenzell Innerrhoden,_T,Total,140.395,6,,,140395000.0
2022,16,Appenzell Innerrhoden,_T,Total,139.725,6,,,139725000.0
2023,16,Appenzell Innerrhoden,_T,Total,142.358,6,,,142358000.0
2024,16,Appenzell Innerrhoden,_T,Total,150.87,6,,,150870000.0
2011,17,St. Gallen,_T,Total,3522.854,6,,,3522854000.0
2012,17,St. Gallen,_T,Total,3682.996,6,,,3682996000.0
2013,17,St. Gallen,_T,Total,3867.684,6,,,3867684000.0
2014,17,St. Gallen,_T,Total,3987.814,6,,,3987814000.0
2015,17,St. Gallen,_T,Total,4113.433,6,,,4113433000.0
2016,17,St. Gallen,_T,Total,4230.937,6,,,4230937000.0
2017,17,St. Gallen,_T,Total,4319.579,6,,,4319579000.0
2018,17,St. Gallen,_T,Total,4443.999,6,,,4443999000.0
2019,17,St. Gallen,_T,Total,4535.754,6,,,4535754000.0
2020,17,St. Gallen,_T,Total,4628.258,6,,,4628258000.0
2021,17,St. Gallen,_T,Total,4937.893,6,,,4937893000.0
2022,17,St. Gallen,_T,Total,5058.906,6,,,5058906000.0
2023,17,St. Gallen,_T,Total,5124.884,6,,,5124884000.0
2024,17,St. Gallen,_T,Total,5245.367,6,,,5245367000.0
2011,18,Graubünden,_T,Total,1512.833,6,,,1512833000.0
2012,18,Graubünden,_T,Total,1558.424,6,,,1558424000.0
2013,18,Graubünden,_T,Total,1639.588,6,,,1639588000.0
2014,18,Graubünden,_T,Total,1683.498,6,,,1683498000.0
2015,18,Graubünden,_T,Total,1716.551,6,,,1716551000.0
2016,18,Graubünden,_T,Total,1769.155,6,,,1769155000.0
2017,18,Graubünden,_T,Total,1800.844,6,,,1800844000.0
2018,18,Graubünden,_T,Total,1846.87,6,,,1846870000.0
2019,18,Graubünden,_T,Total,1874.796,6,,,1874796000.0
2020,18,Graubünden,_T,Total,2032.823,6,,,2032823000.0
2021,18,Graubünden,_T,Total,2046.983,6,,,2046983000.0
2022,18,Graubünden,_T,Total,2104.594,6,,,2104594000.0
2023,18,Graubünden,_T,Total,2123.062,6,,,2123062000.0
2024,18,Graubünden,_T,Total,2116.625,6,,,2116625000.0
2011,19,Aargau,_T,Total,4872.582,6,,,4872582000.0
2012,19,Aargau,_T,Total,5061.605,6,,,5061605000.0
2013,19,Aargau,_T,Total,5246.952,6,,,5246952000.0
2014,19,Aargau,_T,Total,5385.673,6,,,5385673000.0
2015,19,Aargau,_T,Total,5429.33,6,,,5429330000.0
2016,19,Aargau,_T,Total,5517.19,6,,,5517190000.0
2017,19,Aargau,_T,Total,5684.226,6,,,5684226000.0
2018,19,Aargau,_T,Total,5760.552,6,,,5760552000.0
2019,19,Aargau,_T,Total,5972.783,6,,,5972783000.0
2020,19,Aargau,_T,Total,6158.685,6,,,6158685000.0
2021,19,Aargau,_T,Total,6638.37,6,,,6638370000.0
2022,19,Aargau,_T,Total,6899.391,6,,,6899391000.0
2023,19,Aargau,_T,Total,7177.644,6,,,7177644000.0
2024,19,Aargau,_T,Total,7302.158,6,,,7302158000.0
2011,20,Thurgau,_T,Total,1836.838,6,,,1836838000.0
2012,20,Thurgau,_T,Total,1889.859,6,,,1889859000.0
2013,20,Thurgau,_T,Total,1987.122,6,,,1987122000.0
2014,20,Thurgau,_T,Total,2044.195,6,,,2044195000.0
2015,20,Thurgau,_T,Total,2129.535,6,,,2129534999.9999998
2016,20,Thurgau,_T,Total,2215.335,6,,,2215335000.0
2017,20,Thurgau,_T,Total,2268.176,6,,,2268176000.0
2018,20,Thurgau,_T,Total,2354.92,6,,,2354920000.0
2019,20,Thurgau,_T,Total,2434.159,6,,,2434159000.0
2020,20,Thurgau,_T,Total,2515.053,6,,,2515053000.0
2021,20,Thurgau,_T,Total,2683.547,6,,,2683547000.0
2022,20,Thurgau,_T,Total,2727.218,6,,,2727218000.0
2023,20,Thurgau,_T,Total,2798.368,6,,,2798368000.0
2024,20,Thurgau,_T,Total,2855.352,6,,,2855352000.0
2011,21,Ticino,_T,Total,2865.505,6,,,2865505000.0
2012,21,Ticino,_T,Total,2956.136,6,,,2956136000.0
2013,21,Ticino,_T,Total,3101.013,6,,,3101013000.0
2014,21,Ticino,_T,Total,3216.872,6,,,3216872000.0
2015,21,Ticino,_T,Total,3326.189,6,,,3326189000.0
2016,21,Ticino,_T,Total,3429.36,6,,,3429360000.0
2017,21,Ticino,_T,Total,3544.047,6,,,3544047000.0
2018,21,Ticino,_T,Total,3668.471,6,,,3668471000.0
2019,21,Ticino,_T,Total,3829.269,6,,,3829269000.0
2020,21,Ticino,_T,Total,3882.38,6,,,3882380000.0
2021,21,Ticino,_T,Total,4121.631,6,,,4121631000.0000005
2022,21,Ticino,_T,Total,4317.365,6,,,4317365000.0
2023,21,Ticino,_T,Total,4459.985,6,,,4459985000.0
2024,21,Ticino,_T,Total,4594.047,6,,,4594047000.0
2011,22,Vaud,_T,Total,6055.364,6,,,6055364000.0
2012,22,Vaud,_T,Total,6217.613,6,,,6217613000.0
2013,22,Vaud,_T,Total,6491.435,6,,,6491435000.0
2014,22,Vaud,_T,Total,6683.509,6,,,6683509000.0
2015,22,Vaud,_T,Total,6883.186,6,,,6883186000.0
2016,22,Vaud,_T,Total,7160.869,6,,,7160869000.0
2017,22,Vaud,_T,Total,7401.739,6,,,7401739000.0
2018,22,Vaud,_T,Total,7500.583,6,,,7500583000.0
2019,22,Vaud,_T,Total,7741.729,6,,,7741729000.0
2020,22,Vaud,_T,Total,8009.78,6,,,8009780000.0
2021,22,Vaud,_T,Total,8605.884,6,,,8605884000.0
2022,22,Vaud,_T,Total,8887.253,6,,,8887253000.0
2023,22,Vaud,_T,Total,9055.036,6,,,9055036000.0
2024,22,Vaud,_T,Total,9742.47,6,,,9742470000.0
2011,23,Valais,_T,Total,2394.794,6,,,2394794000.0
2012,23,Valais,_T,Total,2452.015,6,,,2452015000.0
2013,23,Valais,_T,Total,2543.132,6,,,2543132000.0
2014,23,Valais,_T,Total,2630.285,6,,,2630285000.0
2015,23,Valais,_T,Total,2701.055,6,,,2701055000.0
2016,23,Valais,_T,Total,2858.11,6,,,2858110000.0
2017,23,Valais,_T,Total,2926.291,6,,,2926291000.0
2018,23,Valais,_T,Total,3059.15,6,,,3059150000.0
2019,23,Valais,_T,Total,3256.566,6,,,3256566000.0
2020,23,Valais,_T,Total,3248.233,6,,,3248233000.0
2021,23,Valais,_T,Total,3343.977,6,,,3343977000.0
2022,23,Valais,_T,Total,3475.867,6,,,3475867000.0
2023,23,Valais,_T,Total,3603.09,6,,,3603090000.0
2024,23,Valais,_T,Total,3795.91,6,,,3795910000.0
2011,24,Neuchâtel,_T,Total,1460.755,6,,,1460755000.0
2012,24,Neuchâtel,_T,Total,1499.248,6,,,1499248000.0
2013,24,Neuchâtel,_T,Total,1587.03,6,,,1587030000.0
2014,24,Neuchâtel,_T,Total,1623.948,6,,,1623948000.0
2015,24,Neuchâtel,_T,Total,1677.105,6,,,1677105000.0
2016,24,Neuchâtel,_T,Total,1757.304,6,,,1757304000.0
2017,24,Neuchâtel,_T,Total,1806.844,6,,,1806844000.0
2018,24,Neuchâtel,_T,Total,1848.712,6,,,1848712000.0
2019,24,Neuchâtel,_T,Total,1846.916,6,,,1846916000.0
2020,24,Neuchâtel,_T,Total,1905.502,6,,,1905502000.0
2021,24,Neuchâtel,_T,Total,2047.592,6,,,2047592000.0
2022,24,Neuchâtel,_T,Total,2107.573,6,,,2107572999.9999998
2023,24,Neuchâtel,_T,Total,2081.103,6,,,2081103000.0
2024,24,Neuchâtel,_T,Total,2241.958,6,,,2241958000.0
2011,25,Genève,_T,Total,4135.744,6,,,4135743999.9999995
2012,25,Genève,_T,Total,4285.92,6,,,4285920000.0
2013,25,Genève,_T,Total,4459.295,6,,,4459295000.0
2014,25,Genève,_T,Total,4539.584,6,,,4539584000.0
2015,25,Genève,_T,Total,4707.433,6,,,4707433000.0
2016,25,Genève,_T,Total,4848.628,6,,,4848628000.0
2017,25,Genève,_T,Total,5005.787,6,,,5005787000.0
2018,25,Genève,_T,Total,5004.511,6,,,5004511000.0
2019,25,Genève,_T,Total,5200.525,6,,,5200525000.0
2020,25,Genève,_T,Total,5394.823,6,,,5394823000.0
2021,25,Genève,_T,Total,5711.462,6,,,5711462000.0
2022,25,Genève,_T,Total,5847.323,6,,,5847323000.0
2023,25,Genève,_T,Total,5931.017,6,,,5931017000.0
2024,25,Genève,_T,Total,6208.762,6,,,6208762000.0
2011,26,Jura,_T,Total,614.282,6,,,614282000.0
2012,26,Jura,_T,Total,639.979,6,,,639979000.0
2013,26,Jura,_T,Total,661.263,6,,,661263000.0
2014,26,Jura,_T,Total,685.018,6,,,685018000.0
2015,26,Jura,_T,Total,705.939,6,,,705939000.0
2016,26,Jura,_T,Total,731.084,6,,,731084000.0
2017,26,Jura,_T,Total,739.879,6,,,739879000.0
2018,26,Jura,_T,Total,761.128,6,,,761128000.0
2019,26,Jura,_T,Total,771.118,6,,,771118000.0
2020,26,Jura,_T,Total,785.79,6,,,785790000.0
2021,26,Jura,_T,Total,826.021,6,,,826021000.0
2022,26,Jura,_T,Total,864.868,6,,,864868000.0
2023,26,Jura,_T,Total,885.531,6,,,885531000.0
2024,26,Jura,_T,Total,918.338,6,,,918338000.0
2011,_T,Total,Y0T5,0-5 years,1606.092,6,,,1606092000.0
2012,_T,Total,Y0T5,0-5 years,1709.772,6,,,1709772000.0
2013,_T,Total,Y0T5,0-5 years,1806.576,6,,,1806576000.0
2014,_T,Total,Y0T5,0-5 years,1842.407,6,,,1842407000.0
2015,_T,Total,Y0T5,0-5 years,1950.563,6,,,1950563000.0
2016,_T,Total,Y0T5,0-5 years,2018.897,6,,,2018897000.0
2017,_T,Total,Y0T5,0-5 years,2057.212,6,,,2057212000.0
2018,_T,Total,Y0T5,0-5 years,2091.973,6,,,2091973000.0
2019,_T,Total,Y0T5,0-5 years,2135.942,6,,,2135942000.0
2020,_T,Total,Y0T5,0-5 years,2042.696,6,,,2042696000.0
2021,_T,Total,Y0T5,0-5 years,2248.511,6,,,2248511000.0
2022,_T,Total,Y0T5,0-5 years,2357.678,6,,,2357678000.0
2023,_T,Total,Y0T5,0-5 years,2329.664,6,,,2329664000.0
2024,_T,Total,Y0T5,0-5 years,2282.958,6,,,2282958000.0
2011,1,Zürich,Y0T5,0-5 years,296.845,6,,,296845000.0
2012,1,Zürich,Y0T5,0-5 years,323.073,6,,,323073000.0
2013,1,Zürich,Y0T5,0-5 years,344.786,6,,,344786000.0
2014,1,Zürich,Y0T5,0-5 years,352.017,6,,,352017000.0
2015,1,Zürich,Y0T5,0-5 years,364.23,6,,,364230000.0
2016,1,Zürich,Y0T5,0-5 years,384.992,6,,,384992000.0
2017,1,Zürich,Y0T5,0-5 years,389.657,6,,,389657000.0
2018,1,Zürich,Y0T5,0-5 years,399.827,6,,,399827000.0
2019,1,Zürich,Y0T5,0-5 years,435.142,6,,,435142000.0
2020,1,Zürich,Y0T5,0-5 years,385.536,6,,,385536000.0
2021,1,Zürich,Y0T5,0-5 years,433.143,6,,,433143000.0
2022,1,Zürich,Y0T5,0-5 years,448.971,6,,,448971000.0
2023,1,Zürich,Y0T5,0-5 years,433.167,6,,,433167000.0
2024,1,Zürich,Y0T5,0-5 years,404.888,6,,,404888000.0
2011,2,Bern,Y0T5,0-5 years,171.047,6,,,171047000.0
2012,2,Bern,Y0T5,0-5 years,182.87,6,,,182870000.0
2013,2,Bern,Y0T5,0-5 years,194.452,6,,,194452000.0
2014,2,Bern,Y0T5,0-5 years,195.205,6,,,195205000.0
2015,2,Bern,Y0T5,0-5 years,241.195,6,,,241195000.0
2016,2,Bern,Y0T5,0-5 years,216.15,6,,,216150000.0
2017,2,Bern,Y0T5,0-5 years,219.599,6,,,219599000.0
2018,2,Bern,Y0T5,0-5 years,226.239,6,,,226239000.0
2019,2,Bern,Y0T5,0-5 years,221.31,6,,,221310000.0
2020,2,Bern,Y0T5,0-5 years,216.645,6,,,216645000.0
2021,2,Bern,Y0T5,0-5 years,231.612,6,,,231612000.0
2022,2,Bern,Y0T5,0-5 years,245.522,6,,,245522000.0
2023,2,Bern,Y0T5,0-5 years,230.874,6,,,230874000.0
2024,2,Bern,Y0T5,0-5 years,253.879,6,,,253879000.0
2011,3,Luzern,Y0T5,0-5 years,65.517,6,,,65516999.99999999
