canton,icc
Aargau,AG
Appenzell Ausserrhoden,AR
Appenzell Innerrhoden,AI
Basel-Landschaft,BL
Basel-Stadt,BS
Bern,BE
Fribourg,FR
Genève,GE
Glarus,GL
Graubünden,GR
Jura,JU
Luzern,LU
Neuchâtel,NE
Nidwalden,NW
Obwalden,OW
Schaffhausen,SH
Schwyz,SZ
Solothurn,SO
St. Gallen,SG
Thurgau,TG
Ticino,TI
Uri,UR
Valais,VS
Vaud,VD
Zug,ZG
Zürich,ZH
